X,CH1,CH2,
Second,Volt,Volt,
3.5999997e-03,2.40000e-02,-6.40000e-02,
3.9999997e-03,3.60000e-02,-5.80000e-02,
4.3999995e-03,3.60000e-02,-5.60000e-02,
4.7999998e-03,8.00000e-03,-2.80000e-02,
5.1999995e-03,3.60000e-02,-4.40000e-02,
5.5999993e-03,2.00000e-02,-3.40000e-02,
5.9999996e-03,4.40000e-02,-4.20000e-02,
6.3999994e-03,5.20000e-02,-4.40000e-02,
6.7999992e-03,4.00000e-02,-3.20000e-02,
7.1999994e-03,1.60000e-02,-1.00000e-02,
7.5999992e-03,3.60000e-02,-1.60000e-02,
7.9999994e-03,2.40000e-02,-8.00000e-03,
8.3999988e-03,3.60000e-02,-2.40000e-02,
8.7999990e-03,3.60000e-02,-1.40000e-02,
9.1999993e-03,4.00000e-02,-1.00000e-02,
9.5999995e-03,4.40000e-02,-1.00000e-02,
9.9999988e-03,4.00000e-02,0.00000e+00,
1.0399999e-02,5.20000e-02,-1.40000e-02,
1.0799999e-02,6.80000e-02,-2.20000e-02,
1.1199999e-02,4.40000e-02,8.00000e-03,
1.1599999e-02,6.80000e-02,-8.00000e-03,
1.1999999e-02,4.80000e-02,1.00000e-02,
1.2399998e-02,4.40000e-02,1.20000e-02,
1.2799999e-02,5.20000e-02,1.40000e-02,
1.3199999e-02,5.60000e-02,8.00000e-03,
1.3599998e-02,4.40000e-02,2.00000e-02,
1.3999999e-02,5.60000e-02,2.20000e-02,
1.4399999e-02,5.60000e-02,2.00000e-02,
1.4799998e-02,5.20000e-02,3.60000e-02,
1.5199998e-02,4.40000e-02,3.60000e-02,
1.5599999e-02,5.20000e-02,4.60000e-02,
1.5999999e-02,6.40000e-02,3.20000e-02,
1.6399998e-02,5.60000e-02,5.00000e-02,
1.6799998e-02,6.00000e-02,4.80000e-02,
1.7199999e-02,9.20000e-02,2.60000e-02,
1.7599998e-02,6.00000e-02,6.40000e-02,
1.7999997e-02,7.60000e-02,4.60000e-02,
1.8399999e-02,8.80000e-02,4.20000e-02,
1.8799998e-02,8.40000e-02,5.40000e-02,
1.9199999e-02,8.00000e-02,6.40000e-02,
1.9599998e-02,8.00000e-02,7.20000e-02,
1.9999998e-02,1.04000e-01,6.00000e-02,
2.0399999e-02,9.20000e-02,7.80000e-02,
2.0799998e-02,1.00000e-01,7.60000e-02,
2.1199998e-02,1.32000e-01,6.60000e-02,
2.1599999e-02,1.36000e-01,6.60000e-02,
2.1999998e-02,1.36000e-01,7.60000e-02,
